Public Food Key,Name,Description
F005279,"Maize, grits, uncooked","Small, yellow, broken grains of corn."
F006136,"Oats, hulled, uncooked","A tan coloured, oval-shaped, cylindrical grain that have had their outer husk removed. Uncooked."
F006143,"Oats, rolled, uncooked",Crushed grain produced by steaming and flattening with hot rollers. No further cooking. Includes traditional and quick cooking styles.
F007164,"Porridge, rolled oats, prepared with water",Crushed grain produced by steaming and flattening the oats with rollers. Cooked by boiling in unsalted water.
F006141,"Oats, rolled, mixed with sugar or honey & other flavours, uncooked","Quick cooking rolled oats, sold mixed with honey and sugar and other flavours to be used to prepare a hot, porridge-style breakfast dish. Uncooked."
F007502,"Psyllium, uncooked",Husk of a small seed which is high in dietary fibre. Uncooked
F007593,"Quinoa, black, uncooked","Small black seed which has a light, fluffy texture when cooked. Mild and slightly nutty flavour. Uncooked"
F007597,"Quinoa, red, uncooked","Small rusty red seed which has a light, fluffy texture when cooked. Mild and slightly nutty flavour. Uncooked"
F007599,"Quinoa, white, uncooked","Small beige seed which has a light, fluffy texture when cooked. Mild and slightly nutty flavour. Uncooked"
F007598,"Quinoa, uncooked","Small beige, red or black seed which has a light, fluffy texture when cooked. Mild and slightly nutty flavour."
F007596,"Quinoa, cooked in water, no added salt","Small beige seed which has a light, fluffy texture when cooked. Mild and slightly nutty flavour. Cooked in unsalted water without the addition of fat, oil or salt."
F007722,"Rye, grain, whole, uncooked","Small, oval-shaped brown grains. Uncooked, unmilled."
F007724,"Rye, rolled, uncooked",Crushed grain produced by steaming and flattening with hot rollers. Uncooked.
F008474,"Sorghum, grain, uncooked","Small, round grain that is orange-red in colour. Can be milled into flour or kibbled (cut into) 3 or 4 pieces."
F009260,"Triticale, grain, uncooked","A beige coloured, long, oval-shaped grain that is a wheat-rye hybrid. Can be milled into flour or kibbled (cut) into 3 or 4 pieces."
F008222,"Semolina, uncooked",Coarsely ground starchy product from the inner endosperm of durum wheat. It is granular in appearance and ranges from clear to yellow in colour. Uncooked.
F008220,"Semolina, boiled, no added fat or salt",Coarsely ground starchy product from the inner endosperm of durum wheat. It is granular in appearance and ranges from clear to yellow in colour. Cooked in unsalted water without the addition of fat or salt.
F008745,"Spelt, uncooked",Small uncooked grain from the wheat family. Uncooked.
F008744,"Spelt, boiled, no added fat or salt",Small uncooked grain from the wheat family. Uncooked.
F009090,"Tapioca, pearl or seed style, uncooked",Starchy product from the cassava plant supplied in the form of small pellets (also known as seeds or pearls). Sometimes sold labelled as Sago tapioca or Sago. Imported into Australia. Uncooked.
F009089,"Tapioca, pearl or seed style, boiled, no added fat or salt",Starchy product supplied in the form of small pellets (also known as seeds or pearls). Sometimes sold labelled as Sago tapioca or Sago. Cooked by boiling according to label instructions.
F009537,"Wheat, whole, uncooked","Whole wheat grain including the bran, germ and endosperm."
F009535,"Wheat bran, unprocessed, uncooked","Outer layers of the wheat grain which are removed during the early stages of milling, and do not undergo further processing other than packaging. Maybe coarsely or finely milled. Uncooked."
F009536,Wheat germ,Small creamy flakes milled from the core of the wheat kernel.
F007682,"Rice, white, uncooked","Grain that has had its husk, bran and germ removed. The grains after milling have a slight off-white colour. Uncooked."
F007661,"Rice, white, boiled or rice cooker, no added salt","Grain that has had its husk, bran and germ removed. Cooked by boiling on the stove top or in an electric rice cooker in unsalted water."
F007678,"Rice, white, purchased as 'instant', microwaved","Grain that has had its husk, bran and germ removed. Pre-cooked before purchase, then heated in the microwave."
F007666,"Rice, white, fried with bacon or ham, egg, prawns & vegetables","Commercially prepared fried rice with egg, ham or pork, prawns, peas and shallots, ready to eat. As purchased from Chinese restaurants."
F007648,"Rice, brown, uncooked",Grain with only the inedible outer husk removed. The bran coating gives it a light tan colour. Uncooked.
F007641,"Rice, brown, boiled, no added salt",Grain with only the inedible outer husk removed. Cooked by boiling in unsalted water.
F007684,"Rice, wild, uncooked",A long-grain marsh grass. Uncooked.
F007683,"Rice, wild, boiled, no added salt",A long-grain marsh grass. Cooked by boiling in unsalted water.
F007639,"Rice paper wrapper, soaked in water","Thin edible paper used to prepare rice paper rolls or summer rolls, typically made from rice flour, salt and water. Sold dried in thin, translucent round or square sheets that are crisp to the touch. Soaked in water with no added oil or salt. Does not contain any fillings."
F003983,"Flour, arrowroot",Flour ground from the starchy roots of a number of tropical plants.
F003988,"Flour, cornflour, from maize starch",Fine white powder extracted from the starchy endosperm of maize (corn).
F003989,"Flour, cornflour, from maize & wheat starch",Fine white powder extracted from the starchy endosperm of maize (corn) or wheat. Sold in Australia under the name of cornflour.
F003986,"Flour, chickpea (besan)","Flour prepared from dried, ground chick peas."
F003998,"Flour, rice",Flour ground from grains of white and/or brown rice.
F004000,"Flour, rye",A flour made from the milled wholegrain of rye.
F004002,"Flour, soya","Creamy, finely ground flour processed from soya beans."
F004004,"Flour, spelt","Flour prepared from ground spelt, a type of wheat."
F004007,"Flour, wheat, white, plain","Flour prepared from ground wheat from which bran has been removed. No added vitamins,  minerals or leavening agents."
F004008,"Flour, wheat, white, plain, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)","Flour prepared from ground wheat from which bran has been removed. Specifically formulated in conjunction with the Northern Territory Government. Contains added vitamins B1, B2, B3, B6, E and folate, iron, magnesium and zinc."
F004009,"Flour, wheat, white, self-raising",Flour prepared from ground wheat from which bran has been removed. Chemical leavening agents added. No added vitamins or minerals.
F004013,"Flour, wheat, white, self-raising, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)","Flour prepared from ground wheat from which bran has been removed. Specifically formulated in conjunction with the Northern Territory Government. Contains added chemical leavening agents and vitamins B1, B2, B3, B6, E and folate, iron, magnesium and zinc."
F004006,"Flour, wheat, white, high protein or bread making flour",High protein wheat flour which may contain added gluten to achieve a protein content ranging from 12-16%. Suitable for use in bread making. Contains added thiamin and folic acid.
F004014,"Flour, wheat, wholemeal, plain","Flour milled from whole wheat grain (bran, germ and flour). No added vitamins, minerals or leavening agents."
F003990,"Flour, gluten free, plain","Flour mix prepared from white gluten free starches and flours including rice, tapioca and corn/maize."
F004015,"Flour, wheat, wholemeal, self-raising","Flour milled from whole wheat grain (bran, germ and flour) to which chemical leavening agents have been added. No added vitamins or minerals."
F004358,"Hamburger, white roll, beef patty, with cheese, onion, pickles & sauce, fast food chain","Commercially prepared hamburger containing a grilled beef burger patty, with processed cheese, pickles, sauce and onion in white bread roll, as served in fast food chains."
F004362,"Hamburger, white roll, beef patty, with salad, independent takeaway outlet","Commercially prepared hamburger containing a grilled or pan fried beef burger patty and salad in a white bread roll, as served from an independent takeaway outlet."
F004389,"Hot dog, bread roll, frankfurt & sauce filling","Fresh bread or bread roll containing a frankfurt, sauce and/or mustard."
F006725,"Pizza, cheese & tomato, commercial","Commercially produced pizza dough topped with tomato-based sauce and cheese. Includes frozen, fast food and takeaway styles."
F006761,"Pizza, ham & pineapple, purchased frozen, baked","Commercially produced pizza dough topped with tomato-based sauce, cheese, ham and pineapple, frozen before packaging and reheated prior to consumption."
F006762,"Pizza, ham & pineapple, takeaway style","Commercially produced pizza dough topped with tomato-based sauce, cheese, ham and pineapple. Purchased ready to eat from independent takeaway food outlets."
F006797,"Pizza, supreme, purchased frozen, baked","Commercially produced pizza dough topped with tomato-based sauce, cheese, sausage, capsicum, onion, ham, mushrooms and sometimes olives and beef, frozen before packaging and reheated prior to consumption."
F006795,"Pizza, supreme, fast food chain","Commercially produced thick pizza dough typically topped with tomato-based sauce, cheese, ground beef, mushrooms, onion, capsicum, pepperoni, pineapple and ham/bacon. Purchased ready to eat from fast food outlets."
F006799,"Pizza, supreme, takeaway style","Commercially produced pizza dough topped with tomato-based sauce, cheese, sausage, capsicum, onion, ham, anchovies, olives, beef, mushrooms and sometimes prawns. Purchased ready to eat from independent takeaway food outlets."
F006805,"Pizza, vegetable, fast food chain",Commercially produced pizza dough topped with tomato-based sauce and a mixture of vegetables. Purchased ready to eat from fast food outlets.
F006043,"Noodle, soba, dry",Commercially prepared dry noodles made from a mix of wheat and buckwheat flour. Uncooked.
F006042,"Noodle, soba, boiled, drained","Commercially prepared dry noodles made from a mix of wheat and buckwheat flour, boiled in unsalted water and then drained."
F006048,"Noodle, wheat, fresh, soaked, drained","Commercially prepared, moist, wheat based noodle, commonly used in Asian style cooking. Includes noodles described as Hokkien, Singapore and Chow Mein noodles. Cooked by boiling without added fat or salt."
F006055,"Noodle, wheat, instant, flavoured, dry, uncooked","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Includes contents of flavour sachet. Uncooked."
F006053,"Noodle, wheat, instant, flavoured, boiled, drained","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Cooked by heating in boiling water with contents of favour sachet. Drained of excess water."
F006054,"Noodle, wheat, instant, flavoured, boiled, undrained","Commercially prepared noodle made from wheat flour, vegetable oil, salts and vegetable gums, coiled into blocks and dried before packaging. Cooked by heating in boiling water with contents of favour sachet. Undrained of excess water."
F006038,"Noodle, rice stick, boiled, drained","Commercially prepared noodles made from a paste of water and ground rice, or rice with cornflour, which are then dried and coiled. Cooked by boiling without added fat or salt and then drained."
F006429,"Pasta, gluten free, boiled from dry, no added salt",The dough made from grains other than wheat such corn and rice with added water. Cooked in boiling water without added salt or fat until firm to the bite. Drained.
F006433,"Pasta, maize flour (corn) based, dry",The dough made by combining maize flour with water. The dough is then dried before packaging and sale. Uncooked.
F006431,"Pasta, maize flour (corn) based, boiled from dry, no added salt",The dough made by combining maize flour with water. The dough is then dried before packaging and sale. Cooked by boiling without added fat or salt until firm to the bite. Drained.
F006458,"Pasta, white wheat flour, dry",The dough made by combining wheat flour or semolina (preferably durum semolina) with water. The dough is then dried before packaging and sale.
F006456,"Pasta, white wheat flour, boiled from dry, no added salt",The dough made by combining wheat flour or semolina (preferably durum semolina) with water. Cooked in boiling water without added salt or fat until firm to the bite. Drained.
F006460,"Pasta, white wheat flour, fresh, uncooked","Commercial product prepared from white wheat flour and other ingredients and cut to shape, but not dried prior to packaging. Includes fresh pasta containing egg. Uncooked."
F006459,"Pasta, white wheat flour, fresh, boiled, no added salt","Commercial product prepared from white wheat flour and other ingredients and cut to shape, but not dried prior to packaging. Includes fresh pasta containing egg. Boiled without added salt or fat, although the pasta itself is likely to contain added salt."
F006445,"Pasta, white wheat flour & egg, dry",The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. The dough is then dried prior to sale.
F006444,"Pasta, white wheat flour & egg, boiled from dry, no added salt",The dough made by combining wheat flour or semolina (preferably durum wheat) with eggs. Cooked by boiling without added fat or salt until firm to the bite. Drained.
F006453,"Pasta, white wheat flour & spinach, dry",The dough made by combining white wheat flour or semolina (preferably durum wheat) with water and spinach. The dough is then dried before packaging and sale. Uncooked.
F006451,"Pasta, white wheat flour & spinach, boiled from dry, no added salt",The dough made by combining white wheat flour or semolina (preferably durum wheat) with water and spinach. The dough is then dried before packaging and sale. Cooked by boiling without added fat or salt until firm to the bite. Drained.
F006465,"Pasta, wholemeal wheat flour, dry",The dough made by combining wheat flour (with varying proportions of whole-wheat grain and white flour) or semolina (preferably durum semolina) with water. The dough is then dried before packaging and sale. Uncooked.
F006464,"Pasta, wholemeal wheat flour, boiled from dry, no added salt",The dough made by combining wheat flour (with varying proportions of whole-wheat grain and white flour) or semolina (preferably durum semolina) with water. The dough is then dried before packaging and sale. Cooked by boiling without added fat or salt until firm to the bite. Drained.
F005145,"Lasagne, beef, commercial, purchased frozen, baked","Commercially prepared pasta dish made from layers of minced beef, tomato sauce filling, savoury white cheese sauce and pasta. Purchased frozen, then baked at home before consumption."
F005146,"Lasagne, beef, homemade","Home prepared pasta dish made from layers of pasta, bolognese sauce with added vegetables, savoury white cheese sauce and cheese (typically cheddar/mozzarella/parmesan)."
F005259,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce","Home prepared pasta dish made from macaroni pasta, and a cheese based sauce commonly containing cheddar cheese, parmesan cheese, cream and milk."
F006409,"Pasta in cream based sauce, dry mix","Commercially packaged product that contains dry pasta mixed with dry ingredients that, when reconstituted with liquid, will form a cream-style dish. Includes mixes described as carbonara or sour cream style. Typical ingredients include pasta, cheese, whey and skim milk powder, salt, spices and colours."
F006410,"Pasta in cream based sauce, prepared from dry mix with regular fat milk cows & margarine spread","Pasta meal prepared from a commercial dry mix by the addition of regular fat cows milk, water and margarine spread. Made according to package instructions."
F008737,"Spaghetti in tomato & cheese sauce, canned",Commercially prepared canned pasta product containing spaghetti in tomato and cheese sauce.
F008738,"Spaghetti in tomato & cheese sauce, canned, reduced salt",Commercially prepared canned pasta product containing spaghetti in a reduced salt tomato and cheese sauce.
F003305,"Croissant, plain","Commercially prepared crescent-shaped pastry prepared from ingredients such as wheat flour, butter, yeast, sugar, egg, milk powder and food additives, then baked. Sodium content likely to vary widely depending on ingredients."
F006497,"Pastry, filo, commercial, raw","Uncooked commercial thin sheets of wheat flour based pastry, prepared without added fat, used in preparation of strudels and Greek-style pastry dishes."
F006496,"Pastry, filo, commercial, baked","Baked commercial thin sheets of wheat flour based pastry, prepared without added fat, used in preparation of strudels and Greek-style pastry dishes."
F006505,"Pastry, puff, with butter, commercial, raw","Uncooked pastry purchased ready-to-cook from supermarkets. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, butter, salt, citric acid and preservative."
F006504,"Pastry, puff, with butter, commercial, baked","Pastry purchased uncooked from supermarkets and then baked at home. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, butter, salt, citric acid and preservative."
F006503,"Pastry, puff, vegetable oil, commercial, raw","Uncooked pastry purchased ready-to-cook from supermarkets. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, vegetable oil, salt, citric acid and preservative."
F006502,"Pastry, puff, vegetable oil, commercial, baked","Pastry purchased uncooked from supermarkets and then baked at home. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, vegetable oil, salt, citric acid and preservative."
F006507,"Pastry, shortcrust style, commercial, raw","Uncooked pastry purchased in thin sheets or blocks from supermarkets. Produces a firm pastry often used on the base of pies. Typical ingredients include wheat flour, vegetable fat, glycerol, citric acid and water."
F006506,"Pastry, shortcrust style, commercial, baked","Pastry purchased in thin sheets or blocks from supermarkets and baked at home. Produces a firm pastry often used on the base of pies. Typical ingredients include wheat flour, vegetable fat, glycerol, citric acid and water."
F006493,"Pastry, filled with spinach & cheese, purchased frozen, baked","Commercially prepared savoury filo pastry product enclosing a filling of spinach and cheese (generally ricotta or feta), purchased frozen and baked at home."
F006665,"Pie, savoury, meat, commercial, ready to eat","Commercially prepared meat-based (usually beef and/or mutton) filling enclosed in pastry, purchased ready to eat."
F006667,"Pie, savoury, meat, purchased frozen, baked","Commercially prepared meat-based (usually beef and/or mutton) filling enclosed pastry, purchased frozen and baked at home."
F008098,"Sausage roll, commercial, ready to eat","Commercially prepared meat filling (usually beef and/or lamb) rolled in pastry, purchased ready to eat."
F008101,"Sausage roll, purchased frozen, baked","Commercially prepared meat filling (usually beef and/or lamb) rolled in pastry, purchased frozen, and baked at home."
F008794,"Spring roll, meat & vegetable filling, commercial, deep fried","Commercially prepared meat and/or vegetable filling rolled in thin pastry, which has been deep fried. Includes spring rolls purchased frozen and served in takeaway food outlets."
F006679,"Pie, sweet, apple, commercial",Commercially prepared apple filling enclosed in sweet short crust pastry. Purchased ready to eat.
F009102,"Tart, custard, commercial",Commercially prepared shortcrust pastry shell with a custard filling.
F003592,"Dressing, French or Italian, regular fat, commercial","Commercially prepared thin sauce used to dress salads. Major ingredients include water, vegetable oil, sugar, vinegar, garlic and spices."
F003612,"Dressing, thousand island, regular fat, commercial","Commercially prepared thick beige or light orange coloured cream, emulsified sauce used to dress salads and seafood. Major ingredients include vegetable oil, tomato, sugar and gherkin relish."
F004263,"Gravy powder, dry mix","Dry mix for reconstitution as sauce to be served with meat. Typical ingredients may include wheat flour, salt, colour, spices and vegetable protein."
F004265,"Gravy, prepared from dry powder with water","Gravy powder prepared with water, according to packet instructions. Typical ingredients may include wheat flour, salt, colour, spices and vegetable protein."
F005441,"Mayonnaise, traditional (greater than 70% fat), commercial","Commercially prepared white, emulsified sauce with a similar thick consistency to cream. Used in sandwiches or to dress salads. Major ingredients include oil, sugar, vinegar and egg."
F005437,"Mayonnaise, low fat, commercial","A white, emulsified sauce with a similar thick consistency to cream, using lower levels of oil to develop a product with a low fat content. Used in sandwiches and to dress salads. Major ingredients include oil, sugar and vinegar."
F005973,"Mustard, cream style","Yellowish paste prepared from ground mustard seeds (typically 10 - 30% of total product), water, vinegar, salt and herbs or other spices. Sold packaged in jars and used as a condiment without further preparation."
F006471,"Paste, Indian style curry, commercial","Commercially prepared Indian style curry paste sauce. Ingredients may include chilli, lemon grass, garlic, salt, galangal, shrimp paste, kaffir lime, shallots and spices."
F006469,"Paste, green curry, commercial","Commercially prepared paste containing green chilli, onions, salt, spices, herbs, vegetable oil and other ingredients, used for preparing south-east Asian style main dishes."
F005702,"Paste, soybean",A thick paste made from fermented and processed soya beans mixed with grain and injected with a yeast mould.
F006476,"Paste, shrimp","Commercially prepared dark, pungent paste prepared from shrimp and used as a flavouring in Asian style cooking."
F007987,"Sauce, barbecue, commercial","Commercially prepared sweet, thick, brown coloured, bottled sauce containing apples, sugar, Worcestershire sauce, golden syrup, food acid, thickener, salt, molasses, mixed citrus peel, raisins, spices, vegetable gum and water."
F007992,"Sauce, butter chicken, commercial","Commercially prepared Indian style butter chicken sauce. Commonly contains water, tomatoes, onions, vegetable oil, cream, butter, sugar, salt, spices, garlic, chilli and colour."
F008000,"Sauce, cranberry, commercial","Commercially prepared jellied or semi-jellied sweet jam-like sauce made from cranberries, sugars and water."
F008004,"Sauce, fish, commercial","Commercially prepared sauce based on fish or anchovy extract, and salt, commonly used in Asian style cooking."
F008008,"Sauce, hoi sin (hoisin), commercial","Commercially prepared sweet, spicy bottled sauce based on fermented soya beans with other ingredients."
F008026,"Sauce, oyster, commercial","Commercially prepared sauce based on oyster extract, sugar, caramel, salt, starch, flavour, protein or hydrolysed vegetable protein, soy sauce, preservative, sodium benzoate, water, food conditioner. Commonly used in Asian-style cooking."
F008028,"Sauce, pasta or simmer, commercial, low fat","Commercially prepared sauce for use as a simmer/pasta bake sauce, formulated so as to contain less than 3% fat. Typical ingredients include water, thickener, cheese, onion, garlic, salt, flavours, herbs and spices."
F008029,"Sauce, pasta, basil pesto, commercial","Commercially prepared basil pesto flavoured pasta sauce. Commonly containing basil, vegetable and /or olive oil, cashews, pine nuts, water, cheese, sugar, salt and garlic."
F008032,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce","Home prepared savoury sauce made from beef mince, onion, garlic, oil, mushroom, and a home-prepared tomato based sauce made from canned tomatoes, tomato paste, stock, pepper, parsley and water. Commonly served with pasta."
F008036,"Sauce, pasta, cheese or cream-based, commercial","Commercially prepared creamy pasta sauce containing water, cream and/or cheese, thickener, vegetable oil, flavours, salt, herbs and spices. Different flavoured sauces may also contain vegetables, and/or meat products."
F008050,"Sauce, pasta, tomato-based, commercial, heated","Commercially prepared tomato-based pasta sauce with herbs, spices and vegetables for addition to pasta dishes. Heated without added ingredients according to label instructions."
F008054,"Sauce, plum, commercial","Commercially prepared chutney-style, spicy, sweet, hot sauce, based on plums."
F008055,"Sauce, rogan josh, commercial","Commercially prepared Indian style Rogan Josh flavoured sauce. Commonly contains water, vegetable oil, salt, coriander, ginger, chilli, spices, gram flour and pepper."
F008056,"Sauce, salsa, tomato-based, commercial","Commercially prepared Mexican style, tomato based dip. Typical ingredients include tomato, onion, capsicum, jalapenos, salt and chilli."
F008062,"Sauce, simmer for chicken, commercial","Commercially prepared simmer/bake sauce intended for use with chicken dishes. Typical base ingredients  include water, vegetable oil, onion, thickener, flavours, herbs and spices. Additional ingredients may be included depending on the flavour of the simmer sauce."
F008063,"Sauce, simmer, curry flavoured, commercial",Commercially prepared simmer style sauce suitable for pouring over chicken or beef to produce an Indian-style curry.
F008065,"Sauce, soy, commercial","Commercially prepared dark brown salty liquid sauce commonly containing hydrolysed soy protein, hydrolysed wheat protein, salt, colour (caramel) and water."
F008067,"Sauce, soy, commercial, reduced salt","Commercially prepared dark brown, salty, liquid sauce commonly containing hydrolysed soy protein, hydrolysed wheat protein, salt, colour (caramel) and water. Reduced in salt compared to regular soy sauce."
F008077,"Sauce, tabasco, commercial",Commercially prepared spicy sauce made from red peppers.
F008083,"Sauce, tomato, commercial","Commercially prepared sauce with a thick consistency. Contains tomatoes, sugar, salt, food acid and spices."
F008085,"Sauce, tomato, commercial, reduced salt","Commercially prepared sauce with a thick consistency formulated to have less added salt than regular commercial tomato sauce. Contains tomatoes, sugar, salt, food acid and spices."
F008090,"Sauce, white, savoury, homemade","Home prepared creamy style sauce made in the home from  butter, white wheat flour and milk."
F008094,"Sauce, Worcestershire, commercial","Commercially prepared fermented liquid condiment made with vinegar, molasses, golden syrup, salt, water, spices, soy sauce, pepper, tamarinds, anchovies, lemon oil, onion and garlic powder."
F009498,Vinegar (except balsamic vinegar),"Sour liquid prepared by acetous fermentation, with or without alcoholic fermentation, of any suitable foodstuff, commonly used in dressings. Available types of vinegar include white, brown and malt."
F006577,"Peanut butter, smooth & crunchy, added sugar & salt","Commercial paste made from roasted and ground peanuts. Available in two types with (crunchy) and without (smooth) chunks of peanuts. Contains vegetable oil, added sugar and salt."
F006579,"Peanut butter, smooth & crunchy, no added sugar or salt","Commercial paste made from roasted, unsalted and ground peanuts. Available in two types with (crunchy) and with out (smooth) chunks of peanuts. Does not contain added salt or sugar."
F008783,"Spread, yeast, marmite","Commercial thick, dark brown concentrated yeast extract spread. Contains added salt, and vitamins B1, B2 and B3."
F008785,"Spread, yeast, vegemite","Commercial, thick dark brown, salty concentrated yeast extract spread made by treating yeast with acid. Contains added salt, and vitamins B1, B2 and B3."
F002405,"Cheese, blue vein","Prepared by the addition of culture, rennet and mould spores to cows milk to produce green, grey, blue or black spots of mould throughout the body of the cheese. Includes Australian and imported blue cheese."
F002407,"Cheese, brie","Australian and imported soft cheese covered with white mould and labelled as being brie style or double brie. Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing."
F002408,"Cheese, camembert","Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing to produce a soft creamy surface ripened cheese. Includes Australian and imported soft cheese covered with white mould and labelled as being camembert style."
F002414,"Cheese, cheddar, natural, regular fat","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Includes unsliced mild, tasty and vintage varieties."
F002413,"Cheese, cheddar, natural, reduced fat (approximately 25%)","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Formulated to have a fat content of approximately 25%."
F002412,"Cheese, cheddar, natural, reduced fat (approximately 15%)","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Formulated to have a fat content of approximately 15%."
F002428,"Cheese, cheddar, processed, regular fat","Commercially prepared regular fat processed cheddar cheese. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt to form a homogeneous mass. Supplied as slices or blocks."
F002425,"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D","Commercially prepared processed cheddar cheese formulated to contain approximately 16% fat. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt and vitamin D to form a homogeneous mass. Supplied as slices or blocks."
F002435,"Cheese, cottage","Regular fat creamed cottage cheese, prepared by curdling, salting, draining and washing cows milk to produce an unripened, white curd cheese."
F002444,"Cheese, cream, plain","Regular fat soft, white cheese prepared by blending, culturing and salting cows milk, cream and vegetable gum."
F002448,"Cheese, edam","A semi-hard cheese made by curdling cows milk with rennet, followed by curing. Coated in oil or a red or yellow wax film. Includes Australian and imported edam cheese."
F002452,"Cheese, fetta (feta)","Made by curdling cows milk with rennet, which is then sliced, salted and stored in either whey or brine. Includes Australian and imported fetta cheese."
F002462,"Cheese, goat, firm",Cheese made from goats milk. Firm in texture.
F002463,"Cheese, goat, soft",Cheese made from goats milk. Soft in texture.
F002466,"Cheese, haloumi","Salty, semi-soft cheese that maintains its texture when cooked."
F002472,"Cheese, mozzarella",Cheese made from cows milk with a rubbery texture. Typically added to pizza and other Italian-style dishes.
F002478,"Cheese, parmesan, dried, finely grated","Parmesan-style cheese, prepared by removing the majority of cream from cows milk before heating, curdling and brining. Cheese is finely grated prior to sale and some additional moisture may be removed, so that the cheese does not generally require refrigerator storage."
F002479,"Cheese, parmesan, fresh","A hard granular cheese prepared by removing the majority of cream from cows milk before heating, curdling and brining. Cheese is shaved or coarsely grated prior to sale so that it is moister than finely grated parmesan cheese and requires refrigerator storage."
F002488,"Cheese, ricotta",Australian produced ricotta cheese. Prepared by collecting the whey from the coagulation of cows milk and further separation and draining.
F002494,"Cheese, soy",Cheese substitute produced using soy bean curd and other ingredients such as salt and thickeners. Includes hard and 'cream cheese' varieties.
F003270,"Cream, thickened, regular fat (approximately 35%)","Australian produced thickened cream with a fat content of 35%. Major ingredients include cream, gelatine and vegetable gum. Produced by separating milk into a highly concentrated milk fat stream (cream) and a non-milk fat stream (skim milk) and adding thickener to increase the viscosity."
F003255,"Cream, imitation (non-dairy)","Commercially produced soft product with a creamy appearance and texture that is commonly used in baked goods in place of whipped dairy cream, but which is not dairy-based."
F003269,"Cream, sour, regular fat",Commercially produced Australian sour cream with a fat content of approximately 35% Prepared by culturing cream or milk with lactic acid bacteria resulting in the sour flavour.
F003267,"Cream, sour, light (approximately 18% fat)",Commercially produced Australian sour cream with a fat content of approximately 18%. Prepared by culturing a combination of cows milk cream and milk with lactic acid bacteria resulting in the sour flavour and decreased fat content compared to regular sour cream.
F004508,"Ice cream, vanilla flavour, regular fat","Commercial product prepared by mixing milk, sugar, gums, emulsifiers and vanilla flavour, then freezing rapidly with agitation to aerate the ice cream to give it a light texture. Includes varieties with a fat content of 11%. Some analysed samples contain egg yolk."
F004419,"Ice confection, stick, milk-based, various flavours","Frozen flavoured ice confection typically made from sugar, skim milk/solids, whey and vegetable gums, sold on a stick. Include strawberry, banana and rainbow flavours."
F004421,"Ice confection, stick, water-based, various flavours","Frozen water based ice confection made from sugar, food acid, vegetable gum, flavour and colour, sold on a stick."
F004415,"Ice confection, stick or tub, fruit juice or fruit flavoured","Frozen fruit juice or fruit flavoured ice confection. typically made from sugar and fruit juices such as lemon, pineapple, passionfruit and orange. Frozen prior to sale and sold on a stick or in a tube. One of four samples does not contain fruit juice."
F005634,"Milk, cow, fluid, regular fat (3.5% fat)",Australian produced regular fat cows milk. Supplied with a minimum fat content of 3.2 g milk fat/100 g.
F005635,"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",Australian produced regular fat cows milk to which sources of omega-3 fatty acids are added. Supplied with fat content of approximately 3.4%.
F005614,"Milk, cow, fluid, reduced fat (1% fat)",Australian produced reduced fat cows milk. Supplied with fat content of approximately 1%.
F005621,"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates","Australian produced reduced fat cows milk. Supplied with a fat content of approximately 1.5%, with added sources of omega-3 fatty acids."
F005637,"Milk, cow, fluid, skim (0.15% fat)",Australian produced cows skim milk. Supplied with a maximum fat content of 0.15%.
F005638,"Milk, cow, fluid, skim (0.15% fat), added milk solids",Australian produced cows skim milk to which extra milk solids are added to increase calcium and protein content. Supplied with a maximum fat content of 0.15%.
